problem,sample_size,num_obj,num_var,f_cor,dist_x_avg,dist_x_max,dist_f_avg,dist_f_max,nd_n,supp_n,hv,dist_x_nd_avg,dist_x_nd_max,fdc,rank_avg,rank_max,rank_ent,slo_n,slo_dist_avg,slo_dist_max,plo_n,plo_dist_avg,plo_dist_max,nd_per_plo,length_aws,eval_aws,sup_avg_neig,inf_avg_neig,inc_avg_neig,lnd_avg_neig,lsupp_avg_neig,dist_x_avg_neig,dist_f_avg_neig,dist_f_dist_x_avg_neig,diff_f_avg_neig,diff_f_dist_x_avg_neig,hv_avg_neig,hvd_avg_neig,nhv_avg_neig,dist_x_cor_neig,dist_f_cor_neig,sup_cor_neig,inf_cor_neig,inc_cor_neig,lnd_cor_neig,lsupp_cor_neig,dist_f_dist_x_cor_neig,diff_f_cor_neig,diff_f_dist_x_cor_neig,hv_cor_neig,hvd_cor_neig,nhv_cor_neig
Ahmad2017,600,7,3,0.03870446200974895,0.38658654207411763,58.13999064828782,0.3142535759772039,785.5116508708772,0.405,0.03292181069958848,4153858359474.9956,0.3997580802001649,55.23068837314289,0.6479403569613832,1.3733333333333333,6.0,2.2735193013402277,0.145,0.3985518384472728,55.808344453854055,0.965,0.3883753694627761,58.13999064828782,0.4196891191709845,0.0,3.0,0.012222222222222221,0.015555555555555553,0.9722222222222223,0.9638888888888888,0.9638888888888888,2.843492680616311,32.792514102896924,11.532477057682923,7.730324985376201,2.7186020340663215,121636490962.93823,31767411432.068283,178945757852.36194,0.5351146281035681,0.7131692159447555,-0.022338081744726988,0.14132808309610193,0.33534023105498256,0.37511598502472515,0.37511598502472515,0.7614786174932695,0.6978434255438751,0.7588622067136465,0.9669009384151122,0.9294187935791428,0.9820074341493921
Chen2015,1200,5,6,0.04232451480869081,0.3939403255297568,7.01803709262829,0.19560675997775487,4757902.229386403,0.16,0.2604166666666667,2.9209449306552537e+25,0.3964896331096896,6.8526788610401566,0.4098095740770448,2.2333333333333334,8.0,2.679149568370806,0.061,0.39611362977106557,6.398096665589067,0.7808333333333334,0.3923978952041314,7.01803709262829,0.20490928495197439,0.3,6.766666666666667,0.04513888888888889,0.04763888888888888,0.9072222222222223,0.809861111111111,0.33138888888888884,0.613781531391646,401390.5291986293,653963.1915749307,96141.49781022228,156637.97767299655,2.3671303728437502e+24,9.947910546685648e+23,4.889825110000006e+24,0.35757296484984297,0.4464363471995831,0.1043801218632436,0.02155135962188366,0.13791396595333077,0.1866453395874184,0.10927197881268574,0.4452038939714869,0.4489988255071914,0.44642714802036976,0.80325304520558,0.8218934837442802,0.9146835095596824
Ganesan2013,600,3,3,0.4351824310623085,0.3356653736083555,9980.996692237923,0.3335710305253554,100.26742556525309,0.011666666666666667,0.5714285714285714,199.75346394402732,0.06276699659901575,1447.4260465756497,0.26233766233766237,11.726666666666667,27.0,4.625590343204825,0.19055555555555556,0.3441829339490099,9977.240114413784,0.4766666666666667,0.34135985502505484,9980.996692237923,0.024475524475524476,0.7,4.066666666666666,0.25388888888888883,0.2561111111111111,0.49,0.5222222222222221,0.4988888888888889,73.75476346137572,8.902021970754458,0.12069758688082995,3.054890436407014,0.04141956794433779,53.50542352660648,15.307448448045756,69.95254555377582,0.5559505701154394,0.44417436757485956,-0.1256343584450054,-0.12751806385658881,0.24818288561351157,0.1556061012816282,0.10600324801936496,0.40698712644890944,0.44551237319972703,0.4050703078598019,0.8915670019861811,0.6405105095927596,0.9354647967493809
Gao2020,1800,3,9,-0.3393408331298868,0.33450510415952567,1000.0057927793822,0.3084368261607733,18109546.612234686,0.43722222222222223,0.04066073697585769,4.6540065401647514e+17,0.33741595370709065,998.717100775529,0.9791499931275898,0.8455555555555555,5.0,1.7470883035627705,0.05388888888888889,0.3448914311767979,986.9124909599358,0.9433333333333334,0.33326729609256517,999.9165682829914,0.4634864546525324,0.03333333333333333,9.133333333333333,0.006728395061728395,0.006419753086419752,0.986851851851852,0.9390740740740742,0.6374691358024691,19.520098478258422,534737.4860250978,27394.200219875474,220758.9826969295,11309.317058149676,1.0982296550982674e+17,6406943617755607.0,1.4119738865507842e+17,0.3694435373536287,0.3305159867254363,0.012216905669660653,-0.0050019829900319656,0.07867284374497883,0.13468486723029804,0.12874616289569138,0.3194367070677872,0.32621398888364106,0.31714286927173024,0.9794463221759333,0.7431005800955838,0.9769657804155534
Goel2007,800,3,4,-0.27224236287869197,0.4340684769720328,1.767484078106083,0.31886874825064815,1.4477729508399781,0.1325,0.20754716981132076,0.6696373869559871,0.435699052993558,1.767484078106083,0.8993344509199045,3.345,12.0,3.2432790018748108,0.08958333333333333,0.44412994213631274,1.520703780858706,0.8225,0.4363288971628209,1.767484078106083,0.16109422492401215,0.2,4.466666666666667,0.0496875,0.0475,0.9028125,0.8571875,0.615,0.16089018420374507,0.09679976302360128,0.6016511417565278,0.04884988409196565,0.30362252572291204,0.10376401199254534,0.01721472175762581,0.1425401336320454,0.4612777400566105,0.48151295404124383,0.05349491736179447,-0.007920686919547958,0.18009444413801595,0.18849635401296602,0.15721156929724767,0.496931188926108,0.4494155874669607,0.4520720144015135,0.9404587270653448,0.7196898551108282,0.9503625885738433
Liao2008,1000,3,5,0.006481110481110441,0.4497484815434062,3.7673189514888503,0.2227911306587106,32.82719546118111,0.027,0.3333333333333333,20.851306802934683,0.44342242124595604,3.111131451553926,0.44531607281607277,8.403,18.0,4.142468798101015,0.059,0.4618092098652604,3.3287330877973247,0.58,0.45723252160821987,3.5966910184009926,0.04655172413793104,0.4666666666666667,6.2,0.1168,0.1348,0.7484000000000001,0.6406000000000001,0.4258,0.46945170413942733,1.9060877397329936,4.060242455029804,0.7190856159747419,1.5317563226081572,3.7831125932698986,0.8319470397376714,5.444293779937542,0.40720089246252456,0.2000556220784745,0.09535201365174908,0.16529682327381698,0.3543602131069899,0.36395050424361064,0.0958450766890205,0.15102155766836942,0.21260237153444514,0.15720274695691633,0.9210128363374048,0.6192245211735363,0.9328376666074463
Padhi2016,1000,3,5,0.028069824069824056,0.3342462778158552,799.1966234225462,0.2850342149098841,4672.559789068587,0.039,0.20512820512820512,3498071573.003577,0.3870534681956978,775.1696129058691,0.6376258675166323,8.685,22.0,4.309073862307448,0.098,0.3266950788538825,796.7301202257437,0.43,0.3244724289676091,799.1966234225462,0.09069767441860466,0.7666666666666667,6.833333333333333,0.19140000000000001,0.18660000000000002,0.622,0.5246000000000001,0.4054,6.2853281577632565,506.66026265808676,80.6099936138244,227.5849984023311,36.20892858573055,520899070.98314714,247686636.31588945,923606167.8964986,0.4435418489011648,0.5586943176409348,0.106760408938587,0.09226919034066963,0.13733496677736606,0.18125141864239613,0.10096590405952252,0.6166205121699695,0.5622307254386175,0.620417693974886,0.6977393786275412,0.6272164184900894,0.7890479646766767
Subasi2016,1000,2,5,-0.3577317337317337,0.33349648806091836,16993.806583505295,0.2480598969533564,1313.806079711807,0.018,0.5,30366.859070343125,0.1352801250630011,10381.994578445576,0.6278765094554568,17.698,44.0,5.325127373372228,0.1565,0.3372856647109065,16894.745042379345,0.762,0.3307037474383322,16993.806583505295,0.023622047244094484,0.3,5.766666666666667,0.0578,0.056600000000000004,0.8855999999999999,0.7772,0.5386,37.74807444939698,125.49271408462019,3.324479881824142,65.85847354788552,1.7446843185649594,9150.785304043446,2333.777291054522,13932.61241390257,0.3065034067853755,0.585473672888356,-0.04622154808657611,-0.06528312219082484,0.15587478611344663,0.39761545957120104,0.2009010142005767,0.6080412838012396,0.5743839032132239,0.5960254805886265,0.7821615290644289,0.7358355296335398,0.9845240685020251
Vaidyanathan2004,800,4,4,-0.07509517983621847,0.4340684769720328,1.767484078106083,0.32927756612401854,1.6474225663276516,0.155,0.11290322580645161,0.5273162106041435,0.4405361050023568,1.767484078106083,0.8723915758717554,2.89625,10.0,3.0367677481207815,0.089375,0.44081716847344327,1.517891253384223,0.82625,0.4364872217433655,1.767484078106083,0.1875945537065053,0.2,4.466666666666667,0.048125,0.0465625,0.9053125,0.8603125,0.4321875,0.16089018420374507,0.11372383725545976,0.7068413639917542,0.04962155255327372,0.3084187689811761,0.056345947220775884,0.012006946510353505,0.08216309170216479,0.4612777400566105,0.4450473897807848,0.05898683172179673,-0.0036791712471356606,0.18506356980759484,0.1949952709997053,0.18367663842057086,0.4332460048905858,0.4060742856017835,0.37144930558255207,0.9473830659257452,0.7835353043589062,0.956577013935508
Xu2020,800,3,4,0.5704225865977915,0.3626649069337982,12.858365983030772,0.19354852012346502,1404.8640238141923,0.015,0.3333333333333333,192703.33438761206,0.3518545270546081,11.904304987891468,0.22058240267195497,13.70375,33.0,4.904935909843036,0.17375,0.35640220579770476,12.587745383877413,0.275,0.3617165356715201,12.85081747004474,0.054545454545454536,1.1333333333333333,6.366666666666666,0.41,0.4228125,0.1671875,0.2990625,0.298125,0.3855951331167479,138.4619709540073,359.086407120405,56.11673636125874,145.53279214825588,52130.94914173292,21107.57614172539,73318.33151120122,0.4989114935303001,0.6479862484214715,-0.1559673006909827,-0.19334660374994747,0.2177157481966496,0.08674079405020622,0.0810959945570242,0.6338807452919478,0.6012310924398406,0.5938025326266132,0.6847690580843282,0.47814379589334266,0.826441182919151
